,vector,stance,ID
220,[[0. 0. 0. ... 0. 0. 0.]],unrelated,170
221,[[0. 0. 0. ... 0. 0. 0.]],discuss,170
222,[[0.         0.33333333 0.         ... 0.         0.         0.        ]],unrelated,171
223,[[0. 0. 0. ... 0. 0. 0.]],unrelated,171
224,[[0. 0. 0. ... 0. 0. 0.]],agree,173
225,[[0.         0.31622777 0.         ... 0.         0.         0.        ]],unrelated,173
226,[[0. 0. 0. ... 0. 0. 0.]],discuss,175
227,[[0. 0. 0. ... 0. 0. 0.]],discuss,175
228,[[0. 0. 0. ... 0. 0. 0.]],disagree,176
229,[[0. 0. 0. ... 0. 0. 0.]],unrelated,176
230,[[0. 0. 0. ... 0. 0. 0.]],agree,179
231,[[0. 0. 0. ... 0. 0. 0.]],agree,179
232,[[0. 0. 0. ... 0. 0. 0.]],unrelated,181
233,[[0. 0. 0. ... 0. 0. 0.]],unrelated,181
234,[[0. 0. 0. ... 0. 0. 0.]],unrelated,185
235,[[0.4472136 0.        0.        ... 0.        0.        0.       ]],unrelated,185
236,[[0. 0. 0. ... 0. 0. 0.]],unrelated,186
237,[[0. 0. 0. ... 0. 0. 0.]],unrelated,186
238,[[0. 0. 0. ... 0. 0. 0.]],agree,187
239,[[0. 0. 0. ... 0. 0. 0.]],unrelated,187
240,[[0. 0. 0. ... 0. 0. 0.]],agree,188
241,[[0. 0. 0. ... 0. 0. 0.]],agree,188
242,[[0. 0. 0. ... 0. 0. 0.]],discuss,189
243,[[0. 0. 0. ... 0. 0. 0.]],discuss,189
244,[[0.33333333 0.33333333 0.         ... 0.         0.         0.        ]],unrelated,190
245,[[0. 0. 0. ... 0. 0. 0.]],unrelated,190
246,[[0. 0. 0. ... 0. 0. 0.]],discuss,193
247,[[0. 0. 0. ... 0. 0. 0.]],discuss,193
248,[[0. 0. 0. ... 0. 0. 0.]],discuss,194
249,[[0. 0. 0. ... 0. 0. 0.]],agree,194
250,[[0. 0. 0. ... 0. 0. 0.]],unrelated,195
251,[[0. 0. 0. ... 0. 0. 0.]],unrelated,195
252,[[0. 0. 0. ... 0. 0. 0.]],agree,198
253,[[0. 0. 0. ... 0. 0. 0.]],agree,198
254,[[0. 0. 0. ... 0. 0. 0.]],discuss,199
255,[[0. 0. 0. ... 0. 0. 0.]],unrelated,199
256,[[0. 0. 0. ... 0. 0. 0.]],discuss,200
257,[[0. 0. 0. ... 0. 0. 0.]],discuss,200
258,[[0. 0. 0. ... 0. 0. 0.]],discuss,203
259,[[0. 0. 0. ... 0. 0. 0.]],discuss,203
260,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],unrelated,204
261,[[0. 0. 0. ... 0. 0. 0.]],unrelated,204
262,[[0. 0. 0. ... 0. 0. 0.]],unrelated,205
263,[[0. 0. 0. ... 0. 0. 0.]],unrelated,205
264,[[0. 0. 0. ... 0. 0. 0.]],unrelated,206
265,[[0. 0. 0. ... 0. 0. 0.]],unrelated,206
266,[[0. 0. 0. ... 0. 0. 0.]],unrelated,208
267,[[0. 0. 0. ... 0. 0. 0.]],unrelated,208
268,[[0. 0. 0. ... 0. 0. 0.]],unrelated,209
269,[[0. 0. 0. ... 0. 0. 0.]],unrelated,209
270,[[0. 0. 0. ... 0. 0. 0.]],agree,210
271,[[0. 0. 0. ... 0. 0. 0.]],agree,210
272,[[0. 0. 0. ... 0. 0. 0.]],discuss,212
273,[[0. 0. 0. ... 0. 0. 0.]],discuss,212
274,[[0.33333333 0.         0.33333333 ... 0.         0.         0.        ]],unrelated,213
275,[[0. 0. 0. ... 0. 0. 0.]],unrelated,213
276,[[0. 0. 0. ... 0. 0. 0.]],unrelated,214
277,[[0. 0. 0. ... 0. 0. 0.]],unrelated,214
278,[[0. 0. 0. ... 0. 0. 0.]],unrelated,217
279,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],discuss,217
280,[[0. 0. 0. ... 0. 0. 0.]],unrelated,218
281,[[0. 0. 0. ... 0. 0. 0.]],unrelated,218
282,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],discuss,219
283,[[0.33333333 0.         0.33333333 ... 0.         0.         0.        ]],discuss,219
284,[[0.         0.40824829 0.         ... 0.         0.         0.        ]],unrelated,220
285,[[0. 0. 0. ... 0. 0. 0.]],unrelated,220
286,[[0. 0. 0. ... 0. 0. 0.]],unrelated,221
287,[[0.         0.33333333 0.         ... 0.         0.         0.        ]],unrelated,221
288,[[0. 0. 0. ... 0. 0. 0.]],agree,224
289,[[0. 0. 0. ... 0. 0. 0.]],unrelated,224
290,[[0.37796447 0.         0.37796447 ... 0.         0.         0.        ]],unrelated,225
291,[[0. 0. 0. ... 0. 0. 0.]],unrelated,225
292,[[0. 0. 0. ... 0. 0. 0.]],unrelated,226
293,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],unrelated,226
294,[[0.4472136 0.        0.4472136 ... 0.        0.        0.       ]],unrelated,227
295,[[0. 0. 0. ... 0. 0. 0.]],unrelated,227
296,[[0. 0. 0. ... 0. 0. 0.]],agree,228
297,[[0. 0. 0. ... 0. 0. 0.]],agree,228
298,[[0. 0. 0. ... 0. 0. 0.]],discuss,229
299,[[0. 0. 0. ... 0. 0. 0.]],discuss,229
300,[[0. 0. 0. ... 0. 0. 0.]],discuss,230
301,[[0.25 0.   0.   ... 0.   0.   0.  ]],discuss,230
302,[[0. 0. 0. ... 0. 0. 0.]],discuss,232
303,[[0. 0. 0. ... 0. 0. 0.]],discuss,232
304,[[0. 0. 0. ... 0. 0. 0.]],unrelated,234
305,[[0. 0. 0. ... 0. 0. 0.]],unrelated,234
306,[[0. 0. 0. ... 0. 0. 0.]],unrelated,235
307,[[0. 0. 0. ... 0. 0. 0.]],unrelated,235
308,[[0. 0. 0. ... 0. 0. 0.]],unrelated,236
309,[[0. 0. 0. ... 0. 0. 0.]],unrelated,236
310,[[0. 0. 0. ... 0. 0. 0.]],unrelated,239
311,[[0. 0. 0. ... 0. 0. 0.]],unrelated,239
312,[[0. 0. 0. ... 0. 0. 0.]],unrelated,240
313,[[0.         0.37796447 0.         ... 0.         0.         0.        ]],unrelated,240
314,[[0. 0. 0. ... 0. 0. 0.]],unrelated,241
315,[[0. 0. 0. ... 0. 0. 0.]],unrelated,241
316,[[0. 0. 0. ... 0. 0. 0.]],unrelated,242
317,[[0.         0.31622777 0.         ... 0.         0.         0.        ]],unrelated,242
318,[[0. 0. 0. ... 0. 0. 0.]],discuss,243
319,[[0. 0. 0. ... 0. 0. 0.]],discuss,243
320,[[0. 0. 0. ... 0. 0. 0.]],agree,244
321,[[0.         0.30151134 0.         ... 0.         0.         0.        ]],unrelated,244
322,[[0. 0. 0. ... 0. 0. 0.]],agree,247
323,[[0. 0. 0. ... 0. 0. 0.]],unrelated,247
324,[[0. 0. 0. ... 0. 0. 0.]],unrelated,251
325,[[0. 0. 0. ... 0. 0. 0.]],unrelated,251
326,[[0. 0. 0. ... 0. 0. 0.]],unrelated,254
327,[[0.31622777 0.         0.         ... 0.         0.         0.        ]],unrelated,254
328,[[0. 0. 0. ... 0. 0. 0.]],unrelated,255
329,[[0. 0. 0. ... 0. 0. 0.]],unrelated,255
330,[[0. 0. 0. ... 0. 0. 0.]],unrelated,258
331,[[0. 0. 0. ... 0. 0. 0.]],unrelated,258
332,[[0. 0. 0. ... 0. 0. 0.]],unrelated,260
333,[[0. 0. 0. ... 0. 0. 0.]],unrelated,260
334,[[0.4472136 0.        0.        ... 0.        0.        0.       ]],unrelated,263
335,[[0. 0. 0. ... 0. 0. 0.]],unrelated,263
336,[[0.33333333 0.         0.         ... 0.         0.         0.        ]],discuss,265
337,[[0. 0. 0. ... 0. 0. 0.]],unrelated,265
338,[[0. 0. 0. ... 0. 0. 0.]],discuss,266
339,[[0. 0. 0. ... 0. 0. 0.]],discuss,266
340,[[0.35355339 0.         0.         ... 0.         0.         0.        ]],unrelated,267
341,[[0. 0. 0. ... 0. 0. 0.]],unrelated,267
342,[[0. 0. 0. ... 0. 0. 0.]],unrelated,269
343,[[0. 0. 0. ... 0. 0. 0.]],unrelated,269
344,[[0. 0. 0. ... 0. 0. 0.]],unrelated,271
345,[[0. 0. 0. ... 0. 0. 0.]],unrelated,271
346,[[0. 0. 0. ... 0. 0. 0.]],discuss,272
347,[[0. 0. 0. ... 0. 0. 0.]],discuss,272
348,[[0. 0. 0. ... 0. 0. 0.]],discuss,273
349,[[0.         0.35355339 0.         ... 0.         0.         0.        ]],discuss,273
350,[[0.35355339 0.35355339 0.         ... 0.         0.         0.        ]],agree,276
351,[[0. 0. 0. ... 0. 0. 0.]],agree,276
352,[[0. 0. 0. ... 0. 0. 0.]],unrelated,277
353,[[0. 0. 0. ... 0. 0. 0.]],unrelated,277
354,[[0. 0. 0. ... 0. 0. 0.]],discuss,280
355,[[0. 0. 0. ... 0. 0. 0.]],unrelated,280
356,[[0. 0. 0. ... 0. 0. 0.]],unrelated,281
357,[[0. 0. 0. ... 0. 0. 0.]],discuss,281
358,[[0. 0. 0. ... 0. 0. 0.]],agree,282
359,[[0. 0. 0. ... 0. 0. 0.]],agree,282
360,[[0. 0. 0. ... 0. 0. 0.]],disagree,283
361,[[0. 0. 0. ... 0. 0. 0.]],disagree,283
362,[[0. 0. 0. ... 0. 0. 0.]],agree,285
363,[[0. 0. 0. ... 0. 0. 0.]],agree,285
364,[[0. 0. 0. ... 0. 0. 0.]],unrelated,286
365,[[0. 0. 0. ... 0. 0. 0.]],unrelated,286
366,[[0.         0.         0.33333333 ... 0.         0.         0.        ]],discuss,288
367,[[0.37796447 0.         0.         ... 0.         0.         0.        ]],discuss,288
368,[[0. 0. 0. ... 0. 0. 0.]],disagree,289
369,[[0. 0. 0. ... 0. 0. 0.]],unrelated,289
370,[[0. 0. 0. ... 0. 0. 0.]],discuss,292
371,[[0. 0. 0. ... 0. 0. 0.]],agree,292
372,[[0.         0.33333333 0.         ... 0.         0.         0.        ]],unrelated,295
373,[[0. 0. 0. ... 0. 0. 0.]],agree,295
374,[[0. 0. 0. ... 0. 0. 0.]],unrelated,296
375,[[0. 0. 0. ... 0. 0. 0.]],unrelated,296
376,[[0. 0. 0. ... 0. 0. 0.]],unrelated,298
377,[[0. 0. 0. ... 0. 0. 0.]],unrelated,298
378,[[0. 0. 0. ... 0. 0. 0.]],unrelated,299
379,[[0. 0. 0. ... 0. 0. 0.]],unrelated,299
380,[[0. 0. 0. ... 0. 0. 0.]],discuss,300
381,[[0. 0. 0. ... 0. 0. 0.]],unrelated,300
382,[[0. 0. 0. ... 0. 0. 0.]],discuss,302
383,[[0. 0. 0. ... 0. 0. 0.]],discuss,302
384,[[0. 0. 0. ... 0. 0. 0.]],unrelated,303
385,[[0.         0.         0.33333333 ... 0.         0.         0.        ]],unrelated,303
386,[[0.35355339 0.         0.         ... 0.         0.         0.        ]],unrelated,304
387,[[0. 0. 0. ... 0. 0. 0.]],unrelated,304
388,[[0. 0. 0. ... 0. 0. 0.]],unrelated,305
389,[[0.40824829 0.         0.         ... 0.         0.         0.        ]],unrelated,305
390,[[0. 0. 0. ... 0. 0. 0.]],discuss,307
391,[[0. 0. 0. ... 0. 0. 0.]],discuss,307
392,[[0.         0.         0.35355339 ... 0.         0.         0.        ]],unrelated,308
393,[[0. 0. 0. ... 0. 0. 0.]],unrelated,308
394,[[0. 0. 0. ... 0. 0. 0.]],discuss,311
395,[[0. 0. 0. ... 0. 0. 0.]],unrelated,311
396,[[0. 0. 0. ... 0. 0. 0.]],unrelated,313
397,[[0. 0. 0. ... 0. 0. 0.]],disagree,313
398,[[0.         0.         0.37796447 ... 0.         0.         0.        ]],unrelated,320
399,[[0. 0. 0. ... 0. 0. 0.]],unrelated,320
400,[[0. 0. 0. ... 0. 0. 0.]],unrelated,321
401,[[0. 0. 0. ... 0. 0. 0.]],unrelated,321
402,[[0. 0. 0. ... 0. 0. 0.]],unrelated,322
403,[[0. 0. 0. ... 0. 0. 0.]],unrelated,322
404,[[0. 0. 0. ... 0. 0. 0.]],agree,323
405,[[0. 0. 0. ... 0. 0. 0.]],agree,323
406,[[0. 0. 0. ... 0. 0. 0.]],unrelated,324
407,[[0. 0. 0. ... 0. 0. 0.]],unrelated,324
408,[[0. 0. 0. ... 0. 0. 0.]],unrelated,330
409,[[0. 0. 0. ... 0. 0. 0.]],discuss,330
410,[[0. 0. 0. ... 0. 0. 0.]],unrelated,331
411,[[0. 0. 0. ... 0. 0. 0.]],unrelated,331
412,[[0. 0. 0. ... 0. 0. 0.]],unrelated,333
413,[[0. 0. 0. ... 0. 0. 0.]],unrelated,333
414,[[0. 0. 0. ... 0. 0. 0.]],discuss,337
415,[[0. 0. 0. ... 0. 0. 0.]],discuss,337
416,[[0. 0. 0. ... 0. 0. 0.]],unrelated,339
417,[[0. 0. 0. ... 0. 0. 0.]],agree,339
418,[[0. 0. 0. ... 0. 0. 0.]],unrelated,342
419,[[0. 0. 0. ... 0. 0. 0.]],unrelated,342
420,[[0.         0.40824829 0.         ... 0.         0.         0.        ]],agree,343
421,[[0. 0. 0. ... 0. 0. 0.]],agree,343
422,[[0. 0. 0. ... 0. 0. 0.]],unrelated,344
423,[[0.         0.26726124 0.         ... 0.         0.         0.        ]],unrelated,344
424,[[0. 0. 0. ... 0. 0. 0.]],unrelated,345
425,[[0. 0. 0. ... 0. 0. 0.]],unrelated,345
426,[[0. 0. 0. ... 0. 0. 0.]],unrelated,346
427,[[0. 0. 0. ... 0. 0. 0.]],unrelated,346
428,[[0. 0. 0. ... 0. 0. 0.]],unrelated,347
